Sex,EE_kJH,H2Og,RQ,Animal_ID,Deg_C,weight,experiment,StartTime,SD_VCO2,SD_VO2,SD_H2Omg,VO2,VCO2,StartDate,TimeOfDay,hour,,
Female,0.991414394,0.124388828,0.978988124,75,21.49365,22.6,baseline,21:36:49,0.01727801,0.0213662,0.001223045,0.7855843,0.7690777,2/20/20,dark,21,,
Female,0.622826332,0.045481213,0.90814613,97,19.75229,21.8,baseline,21:40:49,0.008301857,0.009720178,0.001409933,0.5013387,0.4552888,2/20/20,dark,21,,
Female,0.504161322,0.03717989,0.90368071,27,18.90262,21.1,baseline,21:44:49,0.01771425,0.02600694,0.001670363,0.406226,0.3670986,2/20/20,dark,21,,
Female,1.205193868,0.085713703,0.996469639,51,18.17192,23.1,baseline,21:48:49,0.01159025,0.02335721,0.001769513,0.9513192,0.9479607,2/20/20,dark,21,,
Female,1.098557953,0.064723693,0.855383743,1006,20.38317,17.6,baseline,21:52:49,0.04955492,0.0563683,0.001315449,0.8948337,0.7654262,2/20/20,dark,21,,
Female,1.264318079,0.094575124,0.942565213,14,22.18565,20.1,baseline,21:56:49,0.01934785,0.02400686,0.001780723,1.009928,0.951923,2/20/20,dark,21,,
Female,0.739848509,0.059437998,0.906467118,1006,23.59652,17.6,baseline,22:02:50,0.04090436,0.04941734,0.001172915,0.5957584,0.5400354,2/20/20,dark,22,,
Female,0.762100737,0.03722907,0.901794996,27,22.51703,21.1,baseline,22:06:50,0.01305584,0.02727459,0.00213005,0.614319,0.5539898,2/20/20,dark,22,,
Female,1.015480874,0.094720007,0.932356753,2,19.95462,15.4,baseline,22:10:50,0.02043646,0.03261879,0.001892806,0.8130006,0.7580066,2/20/20,dark,22,,
Female,1.527839041,0.122694415,0.993756614,51,21.85283,23.1,baseline,22:14:50,0.02267584,0.04069204,0.001578374,1.206717,1.199183,2/20/20,dark,22,,
Female,0.401239443,0.062101543,0.897095632,97,23.0492,21.8,baseline,22:18:50,0.00769019,0.01902567,0.001520409,0.3237744,0.2904566,2/20/20,dark,22,,
